"filename", "language", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\willm\Desktop\epic_chess\data.js", "JavaScript", 0, 0, 39, 0, 8, 47
"c:\Users\willm\Desktop\epic_chess\game\board_style.css", "CSS", 0, 56, 0, 0, 14, 70
"c:\Users\willm\Desktop\epic_chess\game\data_read.js", "JavaScript", 0, 0, 98, 17, 18, 133
"c:\Users\willm\Desktop\epic_chess\game\in_game.js", "JavaScript", 0, 0, 326, 1, 81, 408
"c:\Users\willm\Desktop\epic_chess\game\index.html", "HTML", 18, 0, 0, 0, 3, 21
"c:\Users\willm\Desktop\epic_chess\game\piece.js", "JavaScript", 0, 0, 145, 0, 43, 188
"c:\Users\willm\Desktop\epic_chess\game\tile.js", "JavaScript", 0, 0, 122, 0, 30, 152
"c:\Users\willm\Desktop\epic_chess\index.html", "HTML", 0, 0, 0, 0, 1, 1
"c:\Users\willm\Desktop\epic_chess\piece_creator\board\board_creator.js", "JavaScript", 0, 0, 50, 0, 19, 69
"c:\Users\willm\Desktop\epic_chess\piece_creator\board\editor\board_editor.js", "JavaScript", 0, 0, 132, 0, 34, 166
"c:\Users\willm\Desktop\epic_chess\piece_creator\board\editor\index.html", "HTML", 24, 0, 0, 0, 4, 28
"c:\Users\willm\Desktop\epic_chess\piece_creator\board\index.html", "HTML", 20, 0, 0, 0, 3, 23
"c:\Users\willm\Desktop\epic_chess\piece_creator\creator_menu.js", "JavaScript", 0, 0, 12, 0, 2, 14
"c:\Users\willm\Desktop\epic_chess\piece_creator\creator_style.css", "CSS", 0, 43, 0, 0, 9, 52
"c:\Users\willm\Desktop\epic_chess\piece_creator\index.html", "HTML", 19, 0, 0, 0, 3, 22
"c:\Users\willm\Desktop\epic_chess\piece_creator\piece\editor\index.html", "HTML", 23, 0, 0, 0, 3, 26
"c:\Users\willm\Desktop\epic_chess\piece_creator\piece\editor\piece_editor.js", "JavaScript", 0, 0, 204, 1, 49, 254
"c:\Users\willm\Desktop\epic_chess\piece_creator\piece\index.html", "HTML", 20, 0, 0, 0, 3, 23
"c:\Users\willm\Desktop\epic_chess\piece_creator\piece\piece_creator.js", "JavaScript", 0, 0, 37, 0, 13, 50
"c:\Users\willm\Desktop\epic_chess\style.css", "CSS", 0, 12, 0, 0, 1, 13
"Total", "-", 124, 111, 1165, 19, 341, 1760